name,rollno,branch,gender,marks,city,age
khushi,131,cse,f,89.0,vadodara,100
sumit,324,cse,m,66.14,vadodara,20
vraj,345,cse,m,78.0,vadodara,21
shruti,74,chemical,f,66.14,vadodara,19
kinjal,742,cse,f,56.0,vadodara,21
kirtan,32,cse,m,34.0,surat,22
hari,124,chemical,m,56.0,surat,19
harshil,122,fehs,m,75.0,amdavad,20
anjali,892,fehs,f,75.0,amdavad,21
reenal,78,fehs,f,66.14,amdavad,22
vandan,789,bba,m,54.0,surat,23
param,987,cse,f,75.0,surat,120
vidhi,922,cse,f,45.0,rajkot,20
kunal,444,cse,m,34.0,rajkot,150
